2015-10-24 17:59:19,034 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ds_farmacia:DsFarmacia:0.0.1-SNAPSHOT @ C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\pom.xml.
2015-10-24 17:59:19,034 [Worker-6] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ds_farmacia:DsFarmacia:0.0.1-SNAPSHOT @ C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\pom.xml.
2015-10-24 17:59:24,047 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-24 17:59:24,052 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\src\main\resources
2015-10-24 17:59:24,807 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-24 17:59:24,809 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\src\test\resources
2015-10-24 17:59:24,809 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: com.ds_farmacia:DsFarmacia:0.0.1-SNAPSHOT @ C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\pom.xml.
2015-10-24 17:59:26,047 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-24 17:59:26,049 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\src\main\resources
2015-10-24 17:59:26,053 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-24 17:59:26,055 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\src\test\resources
2015-10-24 17:59:47,831 [Worker-16] INFO  org.eclipse.jetty.util.log - Logging initialized @230138ms
2015-10-24 17:59:47,941 [Worker-16] INFO  org.eclipse.jetty.server.Server - jetty-9.2.9.v20150224
2015-10-24 17:59:47,993 [Worker-16] INFO  o.e.jetty.server.ServerConnector - Started ServerConnector@4132186{HTTP/1.1}{0.0.0.0:54365}
2015-10-24 17:59:47,994 [Worker-16] INFO  org.eclipse.jetty.server.Server - Started @230301ms
2015-10-24 18:02:13,623 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-24 18:02:13,626 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\src\main\resources
2015-10-24 18:02:13,628 [Worker-6] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-24 18:02:13,629 [Worker-6] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\src\test\resources
2015-10-24 18:10:47,761 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-24 18:10:47,763 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\src\main\resources
2015-10-24 18:10:47,765 [Worker-28] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-24 18:10:47,767 [Worker-28] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\src\test\resources
2015-10-24 18:17:03,495 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-24 18:17:03,497 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\src\main\resources
2015-10-24 18:17:03,499 [Worker-31] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2015-10-24 18:17:03,502 [Worker-31] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\ShaSkills\Documents\work\DS\DsFarmacia\src\test\resources
2015-10-24 18:35:27,010 [ModalContext] WARN  o.e.m.j.i.JavaProjectConversionParticipant - FarmaciaJava has multiple source entries, this is not supported yet
2015-10-24 18:35:28,926 [Worker-42] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/apache/maven/plugins/maven-compiler-plugin/3.3/maven-compiler-plugin-3.3.jar
